Name,RA,DEC
TIC71854745,1.753295,54.56844
TIC73104318,4.114774,58.465452
TIC73448352,2.553872,30.360453
TIC81831095,3.187109,61.762385
TIC82010657,3.250211,60.238195
TIC8400842,4.364639,57.817209
TIC85031598,4.356406,62.245206
TIC87090944,3.899106,58.9683
TIC89759617,20.104312,35.588396
TIC92783821,20.201155,35.524628
TIC96291218,4.868987,30.280386
TIC9837861,4.703239,54.292058
TIC104208182,3.633478,50.955115
TIC130181866,7.831958,27.363134
TIC137500798,8.842334,82.92712
TIC137881699,10.038175,53.950824
TIC137906197,10.140186,55.53996
TIC142090065,5.271567,79.737727
TIC14336130,7.005555,56.824194
TIC149833117,6.975236,67.677336
TIC1551345500,18.486201,55.313107
TIC15863518,6.701373,39.842904
TIC160045097,14.205251,74.411791
TIC174041208,23.401199,43.37667
TIC190223929,6.566879,41.900818
TIC198206613,16.469564,63.499098
TIC21535395,10.985153,40.983718
TIC219857012,17.155258,71.876672
TIC219860288,17.183155,71.872204
TIC224596152,16.966886,57.305263
TIC22705558,8.345916,46.203604
TIC229455001,19.619405,60.881302
TIC229938290,19.178734,64.153662
TIC230377505,19.013707,60.233671
TIC230386259,19.048568,63.948849
TIC232635922,18.742419,54.949899
TIC232650365,18.784514,54.910682
TIC233009109,16.550216,72.925534
TIC233071822,18.053737,60.675192
TIC233071926,18.049287,60.417638
TIC233602827,18.849149,64.419466
TIC233684293,17.384192,63.110741
TIC23650642,8.405908,42.104735
TIC237099296,16.020132,68.9373
TIC239154970,7.545616,33.835021
TIC240148934,6.758811,31.465533
TIC241173474,7.740486,43.009079
TIC241196395,10.236646,29.085524
TIC241225337,6.237237,53.135925
TIC252479260,10.378764,50.128711
TIC257241363,7.467868,30.321732
TIC272672133,15.616119,67.452579
TIC274215536,6.659879,42.131339
TIC285048486,8.040779,64.797153
TIC287080092,16.232590,63.53353
TIC287139872,16.897432,60.70962
TIC287225295,9.600023,51.607784
TIC289580577,16.831322,61.173577
TIC29119552,7.908655,45.807841
TIC29191596,10.114669,45.883328
TIC29191624,10.120469,46.114881
TIC293617835,9.019831,55.85994
TIC298666530,18.559994,58.205529
TIC310981412,10.761852,69.20078
TIC318022259,7.191055,48.327933
TIC332064670,8.876456,28.329815
TIC332477926,17.706287,57.447771
TIC356473034,7.801785,50.225147
TIC356978132,18.252114,56.878102
TIC364074068,20.421918,77.636412
TIC365673804,20.889277,64.229166
TIC367753709,17.026714,79.067126
TIC367858035,23.649439,75.685232
TIC371210825,7.437290,32.383825
TIC371234684,7.344568,37.140595
TIC372730331,10.155364,39.162411
TIC39699648,9.118510,46.672425
TIC408618999,2.895631,69.101345
TIC408636441,21.790111,62.753816
TIC420112587,19.344932,73.195993
TIC424391516,18.771843,75.303367
TIC435680451,1.194334,79.165492
TIC441739871,17.304278,74.302721
TIC445805961,6.285589,76.21102
TIC450327768,10.681948,35.913354
TIC453387619,7.591624,49.478068
TIC457138169,9.424530,50.908874
TIC461662295,8.296444,51.01037
TIC470987100,7.453430,53.045268
TIC4897275,9.877462,35.111008
TIC51234631,7.359202,58.268109
TIC53427308,7.925451,54.596601
TIC67646988,9.851235,35.968556
TIC67666096,9.909541,40.387945
TIC67926921,8.529713,44.832314
TIC71431780,7.786480,68.476685
TIC81212286,8.468840,56.427529
TIC85242435,7.623014,61.153925
TIC85293053,10.455847,34.39095
TIC86280613,9.448072,61.698996
TIC86396382,6.509110,29.672266
TIC8767448,9.340198,33.882329
TIC9348006,10.007673,39.457751
TIC95129101,7.662191,28.120146
TIC99834717,11.011147,64.963845
TIC142381532,13.081315,63.753261
TIC142387023,13.182082,61.744849
TIC144401492,11.869740,35.1718
TIC144441148,13.860394,33.49239
TIC148679712,11.478075,46.480464
TIC160440924,15.787792,77.232643
TIC162689341,16.446136,51.041133
TIC165763244,15.476033,55.18532
TIC165987272,13.065456,30.640145
TIC166648874,11.074543,30.458576
TIC168699373,14.209591,47.014783
TIC17993892,11.418329,41.028021
TIC180652891,13.307156,35.953983
TIC180695581,13.418842,38.922367
TIC198108326,13.959243,43.49331
TIC198153540,14.072929,46.519283
TIC198385543,17.196998,54.527848
TIC20182165,15.078750,38.605375
TIC207425167,16.183192,58.294553
TIC207468071,16.393862,54.690077
TIC219824469,13.629334,48.250123
TIC224313733,15.606610,57.890738
TIC229400092,19.497255,62.529189
TIC229742722,18.655451,69.522873
TIC229750058,18.711945,66.303112
TIC232982938,16.104150,69.621802
TIC233720539,18.425286,63.488103
TIC235905185,19.391828,78.754217
TIC237108272,17.142630,78.587055
TIC23740089,13.873310,37.748612
TIC258871793,19.192986,66.328065
TIC272758199,15.821139,71.442944
TIC285094173,12.438792,46.470824
TIC286916251,13.559832,49.060843
TIC307734817,11.439803,28.056535
TIC307956397,17.110818,63.778635
TIC330799746,12.875412,34.901028
TIC341815767,17.834681,54.636127
TIC373693175,12.551080,44.915367
TIC376524552,12.594824,27.214377
TIC377290815,19.106199,56.629312
TIC393831507,12.512448,27.452002
TIC71612483,13.486283,31.401916
TIC8967242,11.148861,34.303015
TIC9392421,11.185190,39.526673
TIC101721385,17.341078,38.242168
TIC103195323,4.171532,75.170931
TIC103633672,10.148232,70.394557
TIC115446313,16.831459,47.316983
TIC115524421,16.942033,44.302536
TIC115583726,16.972567,45.936445
TIC115623434,17.016386,45.386283
TIC116242971,17.842699,36.570176
TIC116264089,17.868607,37.546327
TIC123233041,18.752542,42.451098
TIC123495874,18.841976,46.323281
TIC138294130,15.332748,36.229545
TIC1400212743,17.823640,40.457105
TIC142117976,5.416015,79.74934
TIC142748283,10.107913,74.827211
TIC147951030,11.191020,71.540754
TIC154568734,12.753193,72.123084
TIC155001079,23.010361,46.032536
TIC158075010,14.545626,43.756428
TIC159244568,15.145332,82.446925
TIC159742538,17.886956,37.21174
TIC159781361,15.628784,48.955206
TIC159815224,17.921597,40.167475
TIC159873822,15.861607,52.306308
TIC160039081,16.105414,53.514641
TIC160491359,15.934461,73.07392
TIC164150537,22.382807,30.573268
TIC164892194,19.016055,46.668241
TIC165527918,17.742247,54.090971
TIC165530380,17.760430,59.514199
TIC165554103,17.795438,55.872814
TIC16884216,15.524223,33.902516
TIC1715469662,18.899313,37.380825
TIC1716467085,19.039767,42.507414
TIC172370679,19.961790,40.143346
TIC17416749,16.146733,35.691135
TIC174302697,23.478574,47.349521
TIC188589164,15.971838,35.408114
TIC198178505,16.292151,61.368246
